blue_metaldetector = { name = 'blue_metaldetector', label = 'Beginner\'s Beacon', weight = 475, type = 'item', image = 'blue_metaldetector.png', unique = false, useable = true, shouldClose = true, combinable = nil, description = nil },
md_rustyspring = { name = 'md_rustyspring', label = 'Rusty Spring', weight = 25, type = 'item', image = 'md_rustyspring.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_screw = { name = 'md_screw', label = 'Rusty Screw', weight = 25, type = 'item', image = 'md_screw.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_wheatpenny = { name = 'md_wheatpenny', label = 'Wheat Penny', weight = 25, type = 'item', image = 'md_wheatpenny.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_ancientcoin = { name = 'md_ancientcoin', label = 'Ancient Coin', weight = 25, type = 'item', image = 'md_ancientcoin.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_blackwatch = { name = 'md_blackwatch', label = 'Black Watch', weight = 25, type = 'item', image = 'md_blackwatch.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_coppernugget = { name = 'md_coppernugget', label = 'Copper Nugget', weight = 25, type = 'item', image = 'md_coppernugget.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_diamondearings = { name = 'md_diamondearings', label = 'Diamond Earrings', weight = 25, type = 'item', image = 'md_diamondearings.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_diamondnecklace = { name = 'md_diamondnecklace', label = 'Diamond Necklace', weight = 25, type = 'item', image = 'md_diamondnecklace.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_diamondring = { name = 'md_diamondring', label = 'Diamond Ring', weight = 25, type = 'item', image = 'md_diamondring.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_earpod = { name = 'md_earpod', label = 'Ear Pod', weight = 25, type = 'item', image = 'md_earpod.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_golddollar = { name = 'md_golddollar', label = 'Gold Dollar', weight = 25, type = 'item', image = 'md_golddollar.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_goldearings = { name = 'md_goldearings', label = 'Gold Earrings', weight = 25, type = 'item', image = 'md_goldearings.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_goldnecklace = { name = 'md_goldnecklace', label = 'Gold Necklace', weight = 25, type = 'item', image = 'md_goldnecklace.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_goldnugget = { name = 'md_goldnugget', label = 'Gold Nugget', weight = 25, type = 'item', image = 'md_goldnugget.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_goldounce = { name = 'md_goldounce', label = '1oz Gold Bar', weight = 25, type = 'item', image = 'md_goldounce.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_goldring = { name = 'md_goldring', label = 'Gold Ring', weight = 25, type = 'item', image = 'md_goldring.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_halfdollar = { name = 'md_halfdollar', label = 'Half Dollar', weight = 25, type = 'item', image = 'md_halfdollar.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_ironnugget = { name = 'md_ironnugget', label = 'Iron Nugget', weight = 25, type = 'item', image = 'md_ironnugget.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_platinumnugget = { name = 'md_platinumnugget', label = 'Platinum Nugget', weight = 25, type = 'item', image = 'md_platinumnugget.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_presidentialwatch = { name = 'md_presidentialwatch', label = 'Presidential Watch', weight = 25, type = 'item', image = 'md_presidentialwatch.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_relicrevolver = { name = 'md_relicrevolver', label = 'Relic Revolver', weight = 25, type = 'item', image = 'md_relicrevolver.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_silverdime = { name = 'md_silverdime', label = 'Silver Dime', weight = 25, type = 'item', image = 'md_silverdime.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_silverearings = { name = 'md_silverearings', label = 'Silver Earrings', weight = 25, type = 'item', image = 'md_silverearings.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_silverounce = { name = 'md_silverounce', label = '1oz Silver Bar', weight = 25, type = 'item', image = 'md_silverounce.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
md_silverring = { name = 'md_silverring', label = 'Silver Ring', weight = 25, type = 'item', image = 'md_silverring.png', unique = false, useable = false, shouldClose = true, combinable = nil, description = nil },
